id,name,genres,followers,popularity,mean_danceability,sd_danceability,mean_energy,sd_energy,mean_key,sd_key,mean_loudness,sd_loudness,mean_mode,sd_mode,mean_speechiness,sd_speechiness,mean_acousticness,sd_acousticness,mean_instrumentalness,sd_instrumentalness,mean_liveness,sd_liveness,mean_valence,sd_valence,mean_tempo,sd_tempo,mean_duration_ms,sd_duration_ms,mean_time_signature,sd_time_signature,mean_chorus_hit,sd_chorus_hit,mean_sections,sd_sections,mean_target,sd_target
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"['canadian pop', 'pop', 'post-teen pop']",44606973.0,100,0.6146190476,0.118951871,0.623,0.2217521139,4.1904761905,3.709704134,-6.4540952381,3.0163383581,0.5238095238,0.5117663157,0.0807952381,0.0719241648,0.2740447619,0.3473664192,0.0002129386,0.0005275394,0.1717285714,0.0878470896,0.5507095238,0.2168433349,125.4234285714,34.150711992,210104.8571428571,29205.3426880866,4.0,0.0,39.3533285714,11.9882930968,10.1428571429,2.0563490532,1.0,0.0
3TVXtAsR1Inumwj472S9r4,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",54416812.0,98,0.7220588235,0.1403766949,0.5531960784,0.172235887,6.0980392157,3.8691337633,-7.8342745098,2.806383474,0.5490196078,0.502542555,0.2032901961,0.128649899,0.1605608431,0.2102507995,0.0026469118,0.0121718118,0.203072549,0.1634336759,0.3745196078,0.1865717932,122.9629215686,32.817728541,227211.6470588235,45487.4527107525,4.0196078431,0.2441471752,46.2611803922,21.3627863783,9.9411764706,2.6337180161,1.0,0.0
06HL4z0CvFAxyc27GXpf02,Taylor Swift,"['pop', 'post-teen pop']",38869193.0,98,0.6041346154,0.1019734738,0.6625192308,0.1422638381,5.1923076923,2.6644976096,-5.7512884615,1.9666938549,0.9038461538,0.2976782962,0.0645615385,0.1279400245,0.1393374423,0.169583546,0.0003636727,0.0011421198,0.1484865385,0.0872112491,0.4593826923,0.2080425199,117.0486153846,26.3541327965,231245.5384615385,35189.4696723611,3.9807692308,0.1386750491,36.21746,13.1211664167,10.6346153846,2.1965110137,1.0,0.0
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",32244734.0,98,0.886,,0.672,,1.0,,-4.394,,1.0,,0.188,,0.0363,,8.78e-06,,0.101,,0.526,,91.976,,192024.0,,4.0,,21.73774,,7.0,,1.0,
3Nrfpe0tUJi4K4DXYWgMUX,BTS,"['k-pop', 'k-pop boy group']",31623813.0,96,0.5775,0.028991378,0.747,0.0395979797,1.5,0.7071067812,-4.275,0.339411255,0.0,0.0,0.04585,0.0122329473,0.012335,0.0136683741,0.0,0.0,0.18685,0.168503546,0.5155,0.2425376259,103.66,36.9944125781,232728.5,13584.2283733748,4.0,0.0,36.333415,14.9882949534,12.5,0.7071067812,1.0,0.0
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",31308207.0,96,0.58,0.1027990864,0.602125,0.1391490638,5.3333333333,3.7954969505,-6.9502916667,1.7368275797,0.3333333333,0.4815434123,0.0812875,0.0565154716,0.2319491667,0.2533851399,0.0001527654,0.000519626,0.1576666667,0.0940766139,0.3540666667,0.1878744786,124.9510416667,30.8905048863,240723.75,43769.3266661066,3.875,0.3378319623,44.2747066667,29.4329207435,9.875,2.2128576842,1.0,0.0
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"['chicago rap', 'melodic rap']",16996777.0,96,0.66325,0.0772431227,0.64425,0.0884723524,3.75,3.6547425158,-5.738125,1.1849633433,0.75,0.4629100499,0.16135,0.102814507,0.1850125,0.1262685397,4.64125e-05,0.0001172968,0.1474,0.0813505993,0.42625,0.2188481209,126.045375,37.1381412295,202713.625,34435.9441113393,4.125,0.3535533906,48.89922625,21.9299321825,8.875,2.5877458475,1.0,0.0
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['pop', 'post-teen pop']",61301006.0,95,0.5863157895,0.1592454613,0.6530526316,0.1782636854,5.3157894737,3.3508312663,-5.6868421053,2.2753660087,0.5789473684,0.5072572735,0.0965947368,0.0797783769,0.2264052632,0.2029958989,8.9611e-06,2.90438e-05,0.5424263158,0.3785787572,0.3636315789,0.1766698775,115.1543157895,32.4757225462,188798.3157894737,36469.7407297438,3.8947368421,0.3153017676,49.0380947368,30.163098468,8.3684210526,1.7704527455,1.0,0.0
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",27286822.0,95,0.73,,0.809,,5.0,,-6.406,,0.0,,0.0876,,0.208,,0.0013,,0.0804,,0.825,,101.965,,171093.0,,4.0,,28.95501,,10.0,,1.0,
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"['dance pop', 'pop', 'uk pop']",24123468.0,95,0.7973333333,0.0371124418,0.679,0.1258213019,9.0,2.0,-5.5056666667,0.8530564655,0.3333333333,0.5773502692,0.0826333333,0.0125237108,0.01847,0.0195413587,5.2e-06,9.0067e-06,0.1102,0.037614359,0.5983333333,0.0839186114,112.3473333333,13.837913005,203519.0,18042.0512414747,4.0,0.0,32.9322166667,13.1866181761,9.0,1.7320508076,1.0,0.0
